Channel;Config;Limb;Amp
A;1111;0.00;8.0
A;1111;0.82;10.0
A;1111;3.78;20.0
A;1111;5.62;30.0
A;1111;6.72;40.0
A;1111;7.82;50.0
A;1111;8.70;60.0
A;1111;9.28;70.0
A;1111;10.02;81.0
A;1000;0.00;8.5
A;1000;0.62;10.0
A;1000;3.56;20.0
A;1000;5.42;30.0
A;1000;6.52;40.0
A;1000;7.56;50.0
A;1000;8.38;60.0
A;1000;9.03;70.0
A;1000;10.02;87.0
B;1111;0.00;2.0
B;1111;2.32;3.0
B;1111;3.96;4.0
B;1111;5.34;5.0
B;1111;6.38;6.0
B;1111;7.17;7.0
B;1111;8.06;8.0
B;1111;8.90;9.0
B;1111;9.44;10.0
B;1111;10.02;11.3
B;1000;0.00;2.1
B;1000;2.08;3.0
B;1000;3.62;4.0
B;1000;5.08;5.0
B;1000;6.04;6.0
B;1000;6.88;7.0
B;1000;7.73;8.0
B;1000;8.52;9.0
B;1000;9.13;10.0
B;1000;10.02;11.9
